title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,ticker_sentiment_score,ticker_sentiment_label,overall_sentiment_label_Bullish,overall_sentiment_label_Neutral,overall_sentiment_label_Somewhat-Bearish,overall_sentiment_label_Somewhat-Bullish,day_of_week,summary_length
"Correction: Onconetix Announces Financing Through a $2.0 Million Private Placement of Series C Preferred Stock and Warrants, Establishes a $25 Million Equity Line of Credit",https://www.globenewswire.com/news-release/2024/10/03/2958042/0/en/Correction-Onconetix-Announces-Financing-Through-a-2-0-Million-Private-Placement-of-Series-C-Preferred-Stock-and-Warrants-Establishes-a-25-Million-Equity-Line-of-Credit.html,2024-10-03 20:45:00,"Inc., Onconetix","CINCINATTI, OH., Oct. 03, 2024 ( GLOBE NEWSWIRE ) -- In a release issued under the same headline earlier today by Onconetix, Inc. ( Nasdaq: ONCO ) , please note that in the first paragraph of the release, the name of the financial advisor to Onconetix in the transaction had been corrected to ...",https://ml.globenewswire.com/Resource/Download/4824d51d-2ecb-4f49-8b75-fe9b920e7b1c,GlobeNewswire,Unknown,www.globenewswire.com,"Technology, Financial Markets",0.7270343817269433,0.6783989287519301,Somewhat-Bullish,False,False,False,True,Thursday,54
"Onconetix Announces Financing Through a $2.0 Million Private Placement of Series C Preferred Stock and Warrants, Establishes a $25 Million Equity Line of Credit",https://www.globenewswire.com/news-release/2024/10/03/2957757/0/en/Onconetix-Announces-Financing-Through-a-2-0-Million-Private-Placement-of-Series-C-Preferred-Stock-and-Warrants-Establishes-a-25-Million-Equity-Line-of-Credit.html,2024-10-03 13:05:00,"Onconetix, Inc.","CINCINATTI, Oh., Oct. 03, 2024 ( GLOBE NEWSWIRE ) -- Onconetix, Inc. ( Nasdaq: ONCO ) ( ""Onconetix"" or ""the Company"" ) ( formerly Blue Water Biotech, Inc. ( BWV ) ) , a cancer diagnostics company focused on the research, development and commercialization of innovative solutions for oncology, ...",https://ml.globenewswire.com/Resource/Download/4824d51d-2ecb-4f49-8b75-fe9b920e7b1c,GlobeNewswire,Unknown,www.globenewswire.com,"Technology, Financial Markets",0.7369039499280825,0.6447530901720632,Somewhat-Bullish,False,False,False,True,Thursday,50
Crude Oil Rises; Onconetix Shares Spike Higher - Onconetix  ( NASDAQ:ONCO ) ,https://www.benzinga.com/markets/equities/24/09/41073326/crude-oil-rises-onconetix-shares-spike-higher,2024-09-27 18:41:47,Avi Kapoor,"U.S. stocks traded mixed toward the end of trading, with the Nasdaq Composite falling more than 100 points on Friday. The Dow traded up 0.26% to 42,285.93 while the NASDAQ fell 0.59% to 18,083.01. The S&P 500 also fell, dropping, 0.25% to 5,731.09. In trading on Friday, information technology ...",https://cdn.benzinga.com/files/images/story/2024/09/27/Crude-oil-4-logo.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"Life Sciences, Technology, Economy - Monetary, IPO, Economy - Fiscal, Financial Markets, Real Estate & Construction",0.6124076172282578,0.3987620207128802,Neutral,False,False,False,True,Friday,50
Nasdaq Moves Lower; Fed's Preferred Inflation Gauge Falls More Than Projected - Onconetix  ( NASDAQ:ONCO ) ,https://www.benzinga.com/markets/equities/24/09/41070815/nasdaq-moves-lower-feds-preferred-inflation-gauge-falls-more-than-projected,2024-09-27 16:15:10,Avi Kapoor,"U.S. stocks traded mixed midway through trading, with the Dow Jones index surging more than 250 points on Friday. The Dow traded up 0.66% to 42,452.85 while the NASDAQ fell 0.45% to 18,108.42. The S&P 500 also fell, dropping, 0.07% to 5,741.34. In trading on Friday, information technology shares ...",https://cdn.benzinga.com/files/images/story/2024/09/27/inflation-shutter3.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"Life Sciences, Technology, Economy - Monetary, IPO, Economy - Fiscal, Financial Markets, Real Estate & Construction",0.6149705957734664,0.4020896979212438,Neutral,False,False,False,True,Friday,50
What's Going On With Onconetix Shares Friday? - Onconetix  ( NASDAQ:ONCO ) ,https://www.benzinga.com/news/24/09/41068718/whats-going-on-with-onconetix-shares-friday,2024-09-27 14:54:57,Dylan Berman,"Onconetix, Inc. ONCO stock is moving higher Friday. Altos Venture filed a Form 13D with the Securities and Exchange Commission on Thursday, reporting a 32.5% stake in the company as of September 24. What To Know: The 32.5% stake in Onconetix equates to 2,695,931 shares, which Altos acquired ...",https://cdn.benzinga.com/files/images/story/2024/09/27/Biotechnology.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"Technology, Financial Markets",0.9027958874698359,0.9028573562334029,Bullish,True,False,False,False,Friday,49
Dow Surges Over 100 Points; Costco Earnings Top Views - Costco Wholesale  ( NASDAQ:COST ) ,https://www.benzinga.com/markets/equities/24/09/41067282/dow-surges-over-100-points-costco-earnings-top-views,2024-09-27 13:41:40,Avi Kapoor,"U.S. stocks traded higher this morning, with the Dow Jones index rising more than 100 points on Friday. Following the market opening Friday, the Dow traded up 0.27% to 42,290.97 while the NASDAQ rose 0.16% to 18,218.51. The S&P 500 also rose, gaining, 0.17% to 5,755.11.",https://cdn.benzinga.com/files/images/story/2024/09/27/wall-street-ai17.png?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"Life Sciences, Technology, Economy - Monetary, IPO, Economy - Fiscal, Retail & Wholesale, Financial Markets, Earnings, Real Estate & Construction",0.6510581740108373,0.7114603396801192,Somewhat-Bullish,False,False,False,True,Friday,46
Why Establishment Labs Shares Are Trading Higher By Around 28%; Here Are 20 Stocks Moving Premarket - Establishment Labs Hldgs  ( NASDAQ:ESTA ) ,https://www.benzinga.com/news/24/09/41063862/why-establishment-labs-shares-are-trading-higher-by-around-28-here-are-20-stocks-moving-premarket,2024-09-27 10:46:08,Avi Kapoor,Shares of Establishment Labs Holdings Inc. ESTA rose sharply in today's pre-market as the company received U.S. FDA approval for Motiva Implants. Establishment Labs Holdings shares jumped 28.3% to $52.88 in the pre-market trading session. Here are some other stocks moving in pre-market trading.,https://cdn.benzinga.com/files/images/story/2024/09/27/movers-image.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"Life Sciences, IPO, Financial Markets, Manufacturing, Real Estate & Construction, Technology",0.5490502273768125,0.42481290499620517,Neutral,False,True,False,False,Friday,44
Why Onconetix  ( ONCO )  Shares Are Down 27% - Onconetix  ( NASDAQ:ONCO ) ,https://www.benzinga.com/news/24/09/40964900/why-onconetix-onco-shares-are-down-27,2024-09-20 19:28:36,Henry Khederian,Onconetix Inc ONCO shares are trading lower by 29.9% to 8 cents Friday after the company announced a 1-for-40 reverse stock split. The company announced that its stockholders approved all proposals at the 2024 annual meeting held on September 5.,https://cdn.benzinga.com/files/images/story/2024/09/20/blur-1853262.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"Technology, Financial Markets",0.7421223423102941,0.7133508285325743,Somewhat-Bullish,False,False,False,True,Friday,40
"Onconetix, Inc. Announces 1-for-40 Reverse Stock Split and Results of the Annual Meeting of Stockholders",https://www.globenewswire.com/news-release/2024/09/20/2949794/0/en/Onconetix-Inc-Announces-1-for-40-Reverse-Stock-Split-and-Results-of-the-Annual-Meeting-of-Stockholders.html,2024-09-20 15:45:00,"Inc., Onconetix","CINCINNATI, Ohio, Sept. 20, 2024 ( GLOBE NEWSWIRE ) -- Onconetix, Inc. ( NASDAQ: ONCO ) ( ""Onconetix"" or the ""Company"" ) , a commercial-stage biotechnology company focused on the research, development, and commercialization of innovative solutions for men's health and oncology, today announced ...",https://ml.globenewswire.com/Resource/Download/4824d51d-2ecb-4f49-8b75-fe9b920e7b1c,GlobeNewswire,Unknown,www.globenewswire.com,"Technology, Financial Markets",0.7055319721069504,0.5506567646849388,Neutral,False,False,False,True,Friday,45
Why Lumentum Shares Are Trading Higher By Around 16%; Here Are 20 Stocks Moving Premarket - Lumentum Holdings  ( NASDAQ:LITE ) ,https://www.benzinga.com/news/24/08/40389754/why-lumentum-shares-are-trading-higher-by-around-16-here-are-20-stocks-moving-premarket,2024-08-15 10:32:30,Avi Kapoor,Shares of Lumentum Holdings Inc. LITE rose sharply during Thursday's session after the company reported better-than-expected fourth-quarter financial results and issued strong first-quarter revenue guidance.,https://cdn.benzinga.com/files/images/story/2024/08/15/Movers.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"Life Sciences, Technology, Finance, Retail & Wholesale, Financial Markets, Manufacturing, Earnings, Real Estate & Construction",0.6819707764424457,0.6861250102036032,Somewhat-Bullish,False,False,False,True,Thursday,25
